temperature,city,pressure,date
281.15,Washington,1014,2023-09-27 10-32
295.45,Paris,1017,2023-09-27 10-32
292.83,London,1014,2023-09-27 10-32
281.13,Washington,1014,2023-09-27 10-59
281.13,Washington,1014,2023-09-27 10-56
281.13,Washington,1014,2023-09-27 10-54
281.13,Washington,1014,2023-09-27 10-53
281.13,Washington,1014,2023-09-27 10-49
281.1,Washington,1014,2023-09-27 10-38
281.15,Washington,1014,2023-09-27 10-32
296.35,Paris,1017,2023-09-27 10-59
296.35,Paris,1017,2023-09-27 10-56
296.35,Paris,1017,2023-09-27 10-54
296.18,Paris,1017,2023-09-27 10-53
296.18,Paris,1017,2023-09-27 10-49
295.54,Paris,1017,2023-09-27 10-38
295.45,Paris,1017,2023-09-27 10-32
293.65,London,1013,2023-09-27 10-59
293.65,London,1013,2023-09-27 10-56
293.65,London,1013,2023-09-27 10-54
293.65,London,1013,2023-09-27 10-53
293.55,London,1013,2023-09-27 10-49
292.83,London,1014,2023-09-27 10-38
281.13,Washington,1014,2023-09-27 11-02
281.13,Washington,1014,2023-09-27 10-59
281.13,Washington,1014,2023-09-27 10-56
281.13,Washington,1014,2023-09-27 10-54
281.13,Washington,1014,2023-09-27 10-53
281.13,Washington,1014,2023-09-27 10-49
281.1,Washington,1014,2023-09-27 10-38
281.15,Washington,1014,2023-09-27 10-32
296.35,Paris,1017,2023-09-27 11-02
296.35,Paris,1017,2023-09-27 10-59
296.35,Paris,1017,2023-09-27 10-56
296.35,Paris,1017,2023-09-27 10-54
296.18,Paris,1017,2023-09-27 10-53
296.18,Paris,1017,2023-09-27 10-49
295.54,Paris,1017,2023-09-27 10-38
295.45,Paris,1017,2023-09-27 10-32
293.69,London,1013,2023-09-27 11-02
293.65,London,1013,2023-09-27 10-59
293.65,London,1013,2023-09-27 10-56
293.65,London,1013,2023-09-27 10-54
280.87,Washington,1014,2023-09-27 11-19
280.87,Washington,1014,2023-09-27 11-15
280.87,Washington,1014,2023-09-27 11-13
281.13,Washington,1014,2023-09-27 11-02
281.13,Washington,1014,2023-09-27 10-59
281.13,Washington,1014,2023-09-27 10-56
281.13,Washington,1014,2023-09-27 10-54
281.13,Washington,1014,2023-09-27 10-53
281.13,Washington,1014,2023-09-27 10-49
281.1,Washington,1014,2023-09-27 10-38
281.15,Washington,1014,2023-09-27 10-32
297.09,Paris,1017,2023-09-27 11-19
297.09,Paris,1017,2023-09-27 11-15
296.49,Paris,1017,2023-09-27 11-13
296.35,Paris,1017,2023-09-27 11-02
296.35,Paris,1017,2023-09-27 10-59
296.35,Paris,1017,2023-09-27 10-56
296.35,Paris,1017,2023-09-27 10-54
296.18,Paris,1017,2023-09-27 10-53
296.18,Paris,1017,2023-09-27 10-49
280.8,Washington,1013,2023-09-27 11-54
280.86,Washington,1014,2023-09-27 11-36
280.86,Washington,1014,2023-09-27 11-27
280.87,Washington,1014,2023-09-27 11-23
280.87,Washington,1014,2023-09-27 11-19
280.87,Washington,1014,2023-09-27 11-15
280.87,Washington,1014,2023-09-27 11-13
