temperature,pressure,temp_m-1,temp_m-2,temp_m-3,temp_m-4,temp_m-5,temp_m-6,temp_m-7,temp_m-8,temp_m-9,city_London,city_Paris,city_Washington
292.83,1014,293.55,293.65,293.65,293.65,293.65,293.65,293.65,293.65,293.69,1,0,0
295.45,1017,295.45,295.54,295.54,296.18,296.18,296.18,296.18,296.18,296.18,0,1,0
295.45,1017,295.54,295.54,296.18,296.18,296.18,296.18,296.18,296.18,296.35,0,1,0
295.54,1017,295.54,296.18,296.18,296.18,296.18,296.18,296.18,296.35,296.35,0,1,0
295.54,1017,296.18,296.18,296.18,296.18,296.18,296.18,296.35,296.35,296.35,0,1,0
296.18,1017,296.18,296.18,296.18,296.18,296.18,296.35,296.35,296.35,296.35,0,1,0
296.18,1017,296.18,296.18,296.18,296.18,296.35,296.35,296.35,296.35,296.35,0,1,0
296.18,1017,296.18,296.18,296.18,296.35,296.35,296.35,296.35,296.35,296.35,0,1,0
296.18,1017,296.18,296.18,296.35,296.35,296.35,296.35,296.35,296.35,296.35,0,1,0
296.18,1017,296.18,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,0,1,0
296.18,1017,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,0,1,0
296.35,1017,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,0,1,0
296.35,1017,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,0,1,0
296.35,1017,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.49,0,1,0
296.35,1017,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.49,297.09,0,1,0
296.35,1017,296.35,296.35,296.35,296.35,296.35,296.35,296.49,297.09,297.09,0,1,0
296.35,1017,296.35,296.35,296.35,296.35,296.35,296.49,297.09,297.09,297.09,0,1,0
296.35,1017,296.35,296.35,296.35,296.35,296.49,297.09,297.09,297.09,297.09,0,1,0
296.35,1017,296.35,296.35,296.35,296.49,297.09,297.09,297.09,297.09,297.43,0,1,0
296.35,1017,296.35,296.35,296.49,297.09,297.09,297.09,297.09,297.43,297.43,0,1,0
296.35,1017,296.35,296.49,297.09,297.09,297.09,297.09,297.43,297.43,297.53,0,1,0
296.35,1017,296.49,297.09,297.09,297.09,297.09,297.43,297.43,297.53,297.53,0,1,0
296.49,1017,297.09,297.09,297.09,297.09,297.43,297.43,297.53,297.53,297.51,0,1,0
297.09,1017,297.09,297.09,297.09,297.43,297.43,297.53,297.53,297.51,297.51,0,1,0
297.09,1017,297.09,297.09,297.43,297.43,297.53,297.53,297.51,297.51,297.51,0,1,0
297.09,1017,297.09,297.43,297.43,297.53,297.53,297.51,297.51,297.51,297.72,0,1,0
297.09,1017,297.43,297.43,297.53,297.53,297.51,297.51,297.51,297.72,297.72,0,1,0
297.43,1017,297.43,297.53,297.53,297.51,297.51,297.51,297.72,297.72,297.72,0,1,0
281.15,1014,281.15,281.15,281.15,281.15,281.15,281.1,281.1,281.1,281.1,0,0,1
281.15,1014,281.15,281.15,281.15,281.15,281.1,281.1,281.1,281.1,281.1,0,0,1
281.15,1014,281.15,281.15,281.15,281.1,281.1,281.1,281.1,281.1,281.1,0,0,1
281.15,1014,281.15,281.15,281.1,281.1,281.1,281.1,281.1,281.1,281.1,0,0,1
281.15,1014,281.15,281.1,281.1,281.1,281.1,281.1,281.1,281.1,281.13,0,0,1
281.15,1014,281.1,281.1,281.1,281.1,281.1,281.1,281.1,281.13,281.13,0,0,1
281.1,1014,281.1,281.1,281.1,281.1,281.1,281.1,281.13,281.13,281.13,0,0,1
281.1,1014,281.1,281.1,281.1,281.1,281.1,281.13,281.13,281.13,281.13,0,0,1
281.1,1014,281.1,281.1,281.1,281.1,281.13,281.13,281.13,281.13,281.13,0,0,1
281.1,1014,281.1,281.1,281.1,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.1,1014,281.1,281.1,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.1,1014,281.1,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.1,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,280.87,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,281.13,280.87,280.87,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,281.13,280.87,280.87,280.87,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,281.13,280.87,280.87,280.87,280.87,0,0,1
281.13,1014,281.13,281.13,281.13,281.13,280.87,280.87,280.87,280.87,280.87,0,0,1
281.13,1014,281.13,281.13,281.13,280.87,280.87,280.87,280.87,280.87,280.87,0,0,1
281.13,1014,281.13,281.13,280.87,280.87,280.87,280.87,280.87,280.87,280.87,0,0,1
281.13,1014,281.13,280.87,280.87,280.87,280.87,280.87,280.87,280.87,280.87,0,0,1
281.13,1014,280.87,280.87,280.87,280.87,280.87,280.87,280.87,280.87,280.87,0,0,1
280.87,1014,280.87,280.87,280.87,280.87,280.87,280.87,280.87,280.87,280.87,0,0,1
280.87,1014,280.87,280.87,280.87,280.87,280.87,280.87,280.87,280.87,280.87,0,0,1
